Title,search_key,book_author,goodreads_rating,keep
Reacher,jack reacher,lee child,4.08,y
The Terminal List,the terminal list,jack carr,4.29,y
The Lord of the Rings: The Rings of Power,the lord of the rings and related middle-earth works,j. r. r. tolkien,4.5,y
Cross,alex cross,james patterson,4.13,y
We Were Liars,we were liars,e. lockhart,3.66,y
Ballard,renÃ©e ballard,michael connelly,4.12,y
The Terminal List: Dark Wolf,the terminal list,jack carr,4.29,y
56 Days,56 days,catherine ryan howard,3.71,y
Young Sherlock,young sherlock holmes,andrew lane,3.72,y
Scarpetta,kay scarpetta,patricia cornwell,4.03,y
Off Campus,off-campus,elle kennedy,4.19,y
Invincible,invincible,robert kirkman,4.53,y
Batman: Caped Crusader,batman comics,dc comics,3.94,y
Tatsuki Fujimoto 17-26,tatsuki fujimoto short manga collections,tatsuki fujimoto,,n
The Silent Service,the silent service,kaiji kawaguchi,,n
Red Queen,red queen,juan gÃ³mez-jurado,4.08,y
The House of the Spirits,the house of the spirits,isabel allende,4.3,y
Maxton HallÃ¢â‚¬â€The World Between Us,save me,mona kasten,3.96,y
One Night in Idaho: The College Murders,the idaho four: an american tragedy,james patterson and vicky ward,3.5,y
The Aeronauts,falling upwards: how we took to the air,richard holmes,3.8,y
Bloodshot,bloodshot,"kevin vanhook, don perlin, bob layton, david lapham",3.89,y
Radioactive,radioactive: marie & pierre curie: a tale of love and fallout,lauren redniss,4.03,y
Chemical Hearts,our chemical hearts,krystal sutherland,3.73,y
The Postcard Killings,the postcard killers,james patterson & liza marklund,3.83,y
Evil Eye,evil eye,madhuri shekar,4,y
Soorarai Pottru,simply fly: a deccan odyssey,g. r. gopinath,4.21,y
The Map of Tiny Perfect Things,the map of tiny perfect things,lev grossman,3.93,y
Without Remorse,without remorse,tom clancy,4.22,y
The Mad Women's Ball,le bal des folles,victoria mas,3.79,y
Birds of Paradise,bright burning stars,a. k. small,3.49,y
The Tender Bar,the tender bar,j. r. moehringer,4,y
Homestay,colorful,eto mori,4.01,y
All the Old Knives,all the old knives,olen steinhauer,3.68,y
My Best Friend's Exorcism,my best friend's exorcism,grady hendrix,3.92,y
Catherine Called Birdy,catherine called birdy,karen cushman,3.74,y
My Policeman,my policeman,bethan roberts,3.99,y
The People We Hate at the Wedding,the people we hate at the wedding,grant ginder,2.84,y
Something from Tiffany's,something from tiffany's,melissa hill,3.41,y
Perfect Addiction,perfect addiction,claudia tan,3.88,y
Beautiful Disaster,beautiful disaster,jamie mcguire,4,y
Ang Mga Kaibigan ni Mama Susan,ang mga kaibigan ni mama susan,bob ong,3.82,y
My Fault,culpa mÃ­a,mercedes ron,3.73,y
"Red, White & Royal Blue",red white & royal blue,casey mcquiston,4.05,y
Sitting in Bars with Cake,sitting in bars with cake,audrey shulman,3.21,y
Pippa,The Burning Chaffees,brigadier balram singh mehta,4.2,y
Bihter,a?k-? memnu,halit ziya u?akl?gil,,n
Silver and the Book of Dreams,silver: the first book of dreams,kerstin gier,4.12,y
Foe,foe,iain reid,3.69,y
Landscape with Invisible Hand,landscape with invisible hand,m. t. anderson,3.57,y
Five Blind Dates,five blind dates,erin la rosa,,n
The Boys in the Boat,the boys in the boat,daniel james brown,4.39,y
The Idea of You,the idea of you,robinne lee,3.73,y
Beautiful Wedding,a beautiful wedding,jamie mcguire,3.94,y
Arthur the King,arthur: the dog who crossed the jungle to find a home,mikael lindnord,4.06,y
Killer Heat,the jealousy man,jo nesbÃ¸,3.65,y
Apocalypse Z: The Beginning of the End,apocalypse z: the beginning of the end,manel loureiro,3.89,y
Unstoppable,unstoppable: a memoir,anthony robles,,n
My Fault: London,culpa mÃ­a,mercedes ron,3.73,y
The Map That Leads to You,the map that leads to you,j. p. monninger,3.56,y
Hedda,hedda gabler,henrik ibsen,4.11,y
Relationship Goals,relationship goals,michael todd,4.08,y
All In: The Fight for Democracy,our time is now,stacey abrams,4.41,y
Val,i'm your huckleberry,val kilmer,3.69,y
My Name Is Pauli Murray,song in a weary throat,pauli murray,4.59,y
Good Night Oppy,roving mars,steve squyres,4.33,y
Silver Dollar Road,the land of the living,david zucchino,,n
What the Constitution Means to Me,what the constitution means to me,heidi schreck,4.29,y
Virgin River,virgin river,robyn carr,4.01,y
The Witcher,the witcher,andrzej sapkowski,4.1,y
Sweet Magnolias,sweet magnolias,sherryl woods,3.97,y
Bridgerton,bridgerton,julia quinn,3.79,y
The Lincoln Lawyer,the brass verdict,michael connelly,4.25,y
The Night Agent,the night agent,matthew quirk,4.01,y
My Life with the Walter Boys,my life with the walter boys,ali novak,3.77,y
3 Body Problem,the three-body problem,liu cixin,4.08,y
Ransom Canyon,ransom canyon,jodi thomas,3.81,y
Forever,foreverâ€¦,judy blume,3.62,y
Bet,kakegurui,homura kawamoto,4.18,y
Dept. Q,the keeper of lost causes,jussi adler-olsen,4.01,y
Agatha Christie's Seven Dials,the seven dials mystery,agatha christie,3.78,y
Finding Her Edge,finding her edge,jennifer iacopelli,3.22,y
Man on Fire,man on fire,a. j. quinnell,4.28,y
One Piece,one piece,eiichiro oda,4.49,y
Geek Girl,geek girl,holly smale,3.79,y
Record of Ragnarok,record of ragnarok,"shinya umemura, takumi fukui, azychika",3.95,y
Leviathan,leviathan,scott westerfeld,3.92,y
"Dr. Seuss's Red Fish, Blue Fish",one fish two fish red fish blue fish,dr. seuss,4.19,y
Lupin,arsÃ¨ne lupin,maurice leblanc,3.85,y
Flunked,flunked,jen calonita,3.83,y
The Empress,the empress,gigi griffis,3.52,y
Murder Mindfully,murder mindfully,karsten dusse,4.03,y
Mismatched,when dimple met rishi,sandhya menon,3.68,y
Black Warrant,black warrant: confessions of a tihar jailer,"sunil gupta, sunetra choudhury",4.17,y
Last Samurai Standing,ikusagami,shogo imamura,3.87,y
Viral Hit,viral hit,park tae-jun,4.13,y
All of Us Are Dead,All of Us Are Dead,joo dong-geun,3.87,y
Bloodhounds,bloodhounds,jeong chan,,n
The Price of Confession,the price of confession,kwon min-soo,,n
Million-Follower Detective,the case files of young blood,feng nong,,n
One Hundred Years of Solitude,one hundred years of solitude,gabriel garcÃ­a mÃ¡rquez,4.12,y
The Eternaut,the eternaut,hÃ©ctor germÃ¡n oesterheld,4.35,y
The Ãƒâ€¦re Murders,hidden in snow,viveca sten,4.03,y
The Chestnut Man,the chestnut man,sÃ¸ren sveistrup,4.21,y
The Hunting Wives,the hunting wives,may cobb,3.47,y
A Good Girl's Guide to Murder,a good girl's guide to murder,holly jackson,4.28,y
Beasts of No Nation,beasts of no nation,uzodinma iweala,3.8,y
"Crouching Tiger, Hidden Dragon: Sword of Destiny",iron knight silver vase,wang dulu,,n
The Fundamentals of Caring,the revised fundamentals of caregiving,jonathan evison,3.78,y
Coin Heist,coin heist,elisa ludwig,3.3,y
iBOY,iboy,kevin brooks,3.56,y
BLAME!,blame!,tsutomu nihei,4.14,y
Death Note,death note,tsugumi ohba & takeshi obata,4.47,y
First They Killed My Father,first they killed my father: a daughter of cambodia remembers,loung ung,4.36,y
Gerald's Game,gerald's game,stephen king,3.59,y
Our Souls at Night,our souls at night,kent haruf,3.92,y
1922,1922,stephen king,3.89,y
A Futile and Stupid Gesture,a futile and stupid gesture: how doug kenney and national lampoon changed comedy forever,josh karp,3.81,y
Amateur,amateur,walter dean myers,,n
The Kissing Booth,the kissing booth,beth reekles,3.48,y
To All the Boys I've Loved Before,to all the boys i've loved before,jenny han,4.04,y
The Land of Steady Habits,the land of steady habits,ted thompson,3.49,y
Nappily Ever After,nappily ever after,trisha r. thomas,3.84,y
Hold the Dark,hold the dark,william giraldi,3.44,y
Mowgli: Legend of the Jungle,the jungle book,rudyard kipling,3.89,y
Bird Box,bird box,josh malerman,4.05,y
Angela's Christmas,angela's christmas,frank mccourt,4.08,y
Polar,polar,vÃ­ctor santos,3.36,y
The Dirt,Mötley Crüe: The Dirt,neil strauss,4.14,y
The Perfect Date,the stand-in,steve bloom,2.95,y
Good Sam,good sam,dete meserve,3.87,y
Otherhood,whatever makes you happy,william sutcliffe,3.32,y
In the Tall Grass,in the tall grass,stephen king & joe hill,3.62,y
The King,henry iv part 1; henry iv part 2; henry v,william shakespeare,4.24,y
Let It Snow,let it snow: three holiday romances,"john green, maureen johnson & lauren myracle",3.65,y
Earthquake Bird,earthquake bird,susanna jones,3.39,y
The Irishman,i heard you paint houses,charles brandt,4.11,y
To All the Boys: P.S. I Still Love You,p.s. i still love you,jenny han,4,y
The Last Thing He Wanted,the last thing he wanted,joan didion,3.42,y
All the Bright Places,all the bright places,jennifer niven,4.11,y
Spenser Confidential,spenser,robert b. parker,3.93,y
Lost Girls,lost girls: an unsolved american mystery,robert kolker,3.62,y
Sergio,chasing the flame: sergio vieira de mello and the fight to save the world,samantha power,4.35,y
The Willoughbys,the willoughbys,lois lowry,3.81,y
Dangerous Lies,dangerous lies,becca fitzpatrick,3.81,y
The Old Guard,the old guard,greg rucka & leandro fernÃ¡ndez,4,y
Offering to the Storm,offering to the storm,dolores redondo,4.14,y
The Kissing Booth 2,the kissing booth 2: going the distance,beth reekles,3.65,y
Gunjan Saxena: The Kargil Girl,the kargil girl,gunjan saxena & pooja pradhan,4.29,y
The Crimes That Bind,the crimes that bind,dolores redondo,4.04,y
"Love, Guaranteed",love guaranteed,rachel leigh,,n
I'm Thinking of Ending Things,i'm thinking of ending things,iain reid,3.5,y
The Devil All the Time,the devil all the time,donald ray pollock,4.14,y
A Babysitter's Guide to Monster Hunting,a babysitterâ€™s guide to monster hunting,joe ballarini,3.92,y
Rebecca,rebecca,daphne du maurier,4.25,y
The Life Ahead,the life before us,romain gary,4.23,y
Hillbilly Elegy,hillbilly elegy: a memoir of a family and culture in crisis,j. d. vance,3.83,y
Notes for My Son,notes for my son,shiori ito,,n
Ma Rainey's Black Bottom,ma raineyâ€™s black bottom,august wilson,4.01,y
The White Tiger,the white tiger,aravind adiga,3.77,y
The Dig,the dig,john preston,3.67,y
To All the Boys: Always and Forever,always and forever lara jean,jenny han,3.99,y
The Girl on the Train,the girl on the train,paula hawkins,3.96,y
Moxie,moxie,jennifer mathieu,4.18,y
A Week Away,a week away,kali bailey,,n
Things Heard & Seen,all things cease to appear,elizabeth brundage,3.7,y
Monster,monster,walter dean myers,3.73,y
The Woman in the Window,the woman in the window,a. j. finn,3.94,y
Nightbooks,nightbooks,j. a. white,3.99,y
No One Gets Out Alive,no one gets out alive,adam nevill,3.94,y
There's Someone Inside Your House,thereâ€™s someone inside your house,stephanie perkins,3.39,y
Fever Dream,fever dream,samanta schweblin,3.73,y
Passing,passing,nella larsen,3.91,y
Red Notice,red notice: a true story of high finance murder and one manâ€™s fight for justice,bill browder,4.44,y
The Power of the Dog,the power of the dog,thomas savage,4.17,y
Through My Window,through my window,ariana godoy,3.33,y
Against the Ice,two against the ice,ejnar mikkelsen,4.14,y
Rescued by Ruby,dogwinks,"squire rushnell, louise duart",4.28,y
Cobalt Blue,cobalt blue,sachin kundalkar,3.94,y
365 Days: This Day,this day,blanka lipiÅ„ska,3.38,y
Along for the Ride,along for the ride,sarah dessen,4.03,y
Love & Gelato,love & gelato,jenna evans welch,4.02,y
"Hello, Goodbye, and Everything in Between",hello goodbye and everything in between,jennifer e. smith,3.53,y
Dangerous Liaisons,les liaisons dangereuses,pierre choderlos de laclos,4.05,y
Persuasion,persuasion,jane austen,4.15,y
The Gray Man,the gray man,mark greaney,4.16,y
Purple Hearts,purple hearts,tess wakefield,3.45,y
Look Both Ways,look both ways,jason reynolds,3.92,y
The Next 365 Days,this day,blanka lipiÅ„ska,3.41,y
Blonde,blonde,joyce carol oates,3.92,y
Mr. Harrigan's Phone,if it bleeds,stephen king,3.97,y
Luckiest Girl Alive,luckiest girl alive,jessica knoll,3.54,y
The School for Good and Evil,the school for good and evil,soman chainani,3.99,y
The Stranger,the stranger,harlan coben,3.9,y
The Good Nurse,the good nurse,charles graeber,3.86,y
All Quiet on the Western Front,all quiet on the western front,erich maria remarque,4.12,y
The Wonder,the wonder,emma donoghue,3.65,y
The Noel Diary,the noel diary,richard paul evans,4.14,y
Lady Chatterley's Lover,lady chatterleyâ€™s lover,d. h. lawrence,3.5,y
Scrooge: A Christmas Carol,a christmas carol,charles dickens,4.09,y
Guillermo del Toro's Pinocchio,the adventures of pinocchio,carlo collodi,3.84,y
White Noise,white noise,don delillo,3.86,y
Ivy + Bean,ivy + bean,annie barrows,3.96,y
The Pale Blue Eye,the pale blue eye,louis bayard,3.8,y
Dog Gone,dog gone: a lost pet's extraordinary journey,pauls toutonghi,3.87,y
True Spirit,true spirit: the aussie girl who took on the world,jessica watson,4.04,y
Dear David,dear david,adam ellis,,n
The Magician's Elephant,the magicianâ€™s elephant,kate dicamillo,3.87,y
The Perfect Find,the perfect find,tia williams,3.95,y
Nimona,nimona,nd stevenson,4.18,y
Happiness for Beginners,happiness for beginners,katherine center,4.03,y
Zom 100: Bucket List of the Dead,zom 100: bucket list of the dead,haro aso,4.02,y
The Monkey King,journey to the west,wu chengâ€™en,4.04,y
Killer Book Club,el club de los lectores criminales,carlos garcÃ­a miranda,3.5,y
You Are So Not Invited to My Bat Mitzvah,you are so not invited to my bat mitzvah!,fiona rosenbloom,3.67,y
Ehrengard: The Art of Seduction,ehrengard,karen blixen,3.94,y
Love at First Sight,the statistical probability of love at first sight,jennifer e. smith,3.74,y
Jaane Jaan,the devotion of suspect x,keigo higashino,4.17,y
The Black Book,the black book,james patterson,4.28,y
Nyad,find a way,diana nyad,4.2,y
The Archies,the archies,bob montana,,n
Leave the World Behind,leave the world behind,rumaan alam,3.14,y
Stamped from the Beginning,stamped from the beginning: the definitive history of racist ideas in america,ibram x. kendi,4.53,y
The Wonderful Story of Henry Sugar,the wonderful story of henry sugar and six more,roald dahl,4.12,y
The Swan,the swan,roald dahl,4.12,y
The Rat Catcher,the rat catcher,roald dahl,4.12,y
Poison,poison,roald dahl,4.12,y
Society of the Snow,la sociedad de la nieve,pablo vierci,4.56,y
Orion and the Dark,orion and the dark,emma yarlett,4.26,y
My Name Is Loh Kiwan,i met loh kiwan,cho hae-jin,3.89,y
Spaceman,spaceman of bohemia,jaroslav kalfaÅ™,3.8,y
24 Hours with Gaspar,24 jam bersama gaspar,sabda armandio,3.79,y
Murder Mubarak,club you to death,anuja chauhan,3.58,y
The Wonderful Story of Henry Sugar and Three More,the wonderful story of henry sugar and six more,roald dahl,4.12,y
Heart of the Hunter,heart of the hunter,deon meyer,4.02,y
The Wages of Fear,le salaire de la peur,georges arnaud,3.68,y
The Tearsmith,fabbricante di lacrime,erin doom,3.58,y
Scoop,scoops: behind the scenes of the bbcâ€™s most shocking interviews,sam mcalister,4.11,y
City Hunter,city hunter,tsukasa hojo,4.04,y
Thelma the Unicorn,thelma the unicorn,aaron blabey,4.2,y
The Price of Nonna's Inheritance,the price of nonnaâ€™s inheritance,caroline mitchell,,n
Uglies,uglies,scott westerfeld,3.84,y
Sweet Bobby: My Catfish Nightmare,sweet bobby: my catfish nightmare,kirat assi,,n
Ad Vitam,ad vitam,serge ravinel,,n
The Witcher: Sirens of the Deep,a little sacrifice,andrzej sapkowski,4.1,y
A Copenhagen Love Story,sult,tine hÃ¸eg,4.31,y
The Electric State,the electric state,simon stÃ¥lenhag,4.34,y
Little Siberia,little siberia,antti tuomainen,3.69,y
The Life List,the life list,lori nelson spielman,4.06,y
Fear Street: Prom Queen,the prom queen,r. l. stine,3.71,y
The Old Guard 2,the old guard,greg rucka & leandro fernÃ¡ndez,3.99,y
My Oxford Year,my oxford year,julia whelan,3.86,y
Night Always Comes,the night always comes,willy vlautin,3.83,y
The Thursday Murder Club,the thursday murder club,richard osman,3.85,y
Inspector Zende,mumbai's most wanted,madhukar zende,4.06,y
Ruth & Boaz,ruth and boaz: strangers in the land,terri l. fivash,4.49,y
Steve,shy,max porter,3.56,y
The Woman in Cabin 10,the woman in cabin 10,ruth ware,3.71,y
27 Nights,veintisiete noches,natalia zito,3.57,y
The Twits,the twits,roald dahl,4.12,y
Ballad of a Small Player,the ballad of a small player,lawrence osborne,3.5,y
Frankenstein,frankenstein,mary shelley,3.92,y
Train Dreams,train dreams,denis johnson,3.87,y
Chaos: The Manson Murders,chaos: charles manson the cia and the secret history of the sixties,tom o'neill & dan piepenbring,4.04,y
Latin Blood - The Ballad of Ney Matogrosso,ney matogrosso: a biografia,julio maria,4.28,y
Dr. Seuss's The Sneetches,the sneetches and other stories,dr. seuss,4.31,y
Je m'appelle Agneta,je m'appelle agneta,emma hamberg,3.77,y
Remarkably Bright Creatures,remarkably bright creatures,shelby van pelt,4.36,y
